Name,Team,Agent,Usage,Rounds Played,Rating,ACS,K:D,ADR,KAST,KPR,APR,First Kills Per Round,First Deaths Per Round,Kills,Deaths,Assists,First Kills,First Deaths
Sacy,No Team,sova,(193) 51%,3910,1.24,236.1,1.34,154.3,78%,0.82,0.39,0.09,0.06,3196,2377,1519,368,216
Sacy,No Team,skye,(53) 14%,1093,0.97,174.7,0.93,114.2,74%,0.61,0.42,0.07,0.08,671,721,460,81,82
Sacy,No Team,fade,(52) 14%,1118,0.97,180.8,0.93,120.1,75%,0.62,0.43,0.06,0.08,694,743,478,67,92
Sacy,No Team,breach,(18) 5%,370,1.00,190.1,1.00,123.4,74%,0.67,0.31,0.06,0.04,249,248,114,22,13
Sacy,No Team,jett,(17) 5%,338,1.28,281.8,1.43,167.9,77%,0.98,0.22,0.22,0.17,330,230,73,76,56
Sacy,No Team,gekko,(16) 4%,365,0.95,179.8,0.93,121.2,71%,0.62,0.28,0.05,0.08,226,242,102,19,31
Sacy,No Team,omen,(11) 3%,228,1.07,236.4,1.39,152.2,70%,0.85,0.40,0.07,0.04,193,139,92,17,10
Sacy,No Team,sage,(5) 1%,112,1.32,198.2,1.06,158.2,81%,0.73,0.37,0.08,0.04,82,77,41,9,2
Sacy,No Team,viper,(4) 1%,81,0.64,142.5,0.59,94.4,59%,0.46,0.19,0.07,0.11,37,63,15,6,9
Sacy,No Team,raze,(2) 1%,43,1.08,249.5,1.16,153.0,72%,0.86,0.23,0.09,0.14,37,32,10,4,6
Sacy,No Team,reyna,(2) 1%,38,,194.5,0.77,109.2,,0.63,0.21,0.13,0.29,24,31,8,5,4
Sacy,No Team,brimstone,(1) 0%,24,1.10,217.0,1.00,155.2,79%,0.71,0.54,0.08,0.04,17,17,13,2,1
Sacy,No Team,killjoy,(1) 0%,24,0.51,97.0,0.53,61.0,63%,0.38,0.08,0.00,0.13,9,17,2,0,3
